uniq_id,rank,iteration,distribution,mean,std,iterations,sleep_start,barrier_start,barrier_end,expected_sleep_nsec,actual_sleep_nsec
7d1bea60e09b7,8,3,gaussian,100000.000000,10000.000000,1000,966743878,1067192590,1096518970,100438909,100448712
7d1bea60e09b7,10,3,gaussian,100000.000000,10000.000000,1000,966745997,1074174997,1096521689,107415622,107429000
7d1bea60e09b7,9,3,gaussian,100000.000000,10000.000000,1000,966389524,1083799982,1096133717,117402152,117410458
7d1bea60e09b7,15,3,gaussian,100000.000000,10000.000000,1000,966720354,1081209953,1096461206,114480288,114489599
7d1bea60e09b7,14,3,gaussian,100000.000000,10000.000000,1000,966747841,1059392266,1096522818,92634312,92644425
7d1bea60e09b7,12,3,gaussian,100000.000000,10000.000000,1000,966706603,1083550729,1096482109,116828105,116844126
7d1bea60e09b7,11,3,gaussian,100000.000000,10000.000000,1000,966388972,1058887364,1096139301,92490217,92498392
7d1bea60e09b7,2,3,gaussian,100000.000000,10000.000000,1000,963808112,1066058972,1093579555,102247950,102250860
7d1bea60e09b7,6,3,gaussian,100000.000000,10000.000000,1000,962561509,1092326348,1092332244,129761279,129764839
7d1bea60e09b7,7,3,gaussian,100000.000000,10000.000000,1000,964860645,1072122401,1094604558,107256785,107261756
7d1bea60e09b7,1,3,gaussian,100000.000000,10000.000000,1000,964745046,1060462542,1094492983,95709857,95717496
7d1bea60e09b7,5,3,gaussian,100000.000000,10000.000000,1000,964966186,1073711264,1094715408,108737885,108745078
7d1bea60e09b7,0,3,gaussian,100000.000000,10000.000000,1000,965259584,1063820573,1095030757,98554405,98560989
7d1bea60e09b7,4,3,gaussian,100000.000000,10000.000000,1000,964360589,1071111323,1094131978,106746228,106750734
7d1bea60e09b7,3,3,gaussian,100000.000000,10000.000000,1000,965111725,1059219506,1094857738,94102100,94107781
7d1bea60e09b7,13,4,gaussian,100000.000000,10000.000000,1000,1096162261,1191778305,1212780749,95613321,95616044
7d1bea60e09b7,8,4,gaussian,100000.000000,10000.000000,1000,1096520029,1204847144,1213131394,108316532,108327115
7d1bea60e09b7,10,4,gaussian,100000.000000,10000.000000,1000,1096522320,1197913320,1213135202,101378385,101391000
7d1bea60e09b7,9,4,gaussian,100000.000000,10000.000000,1000,1096134510,1212744534,1212751383,116601818,116610024
7d1bea60e09b7,15,4,gaussian,100000.000000,10000.000000,1000,1096462126,1195343208,1213081605,98873007,98881082
7d1bea60e09b7,14,4,gaussian,100000.000000,10000.000000,1000,1096523519,1194423991,1213137443,97889851,97900472
7d1bea60e09b7,12,4,gaussian,100000.000000,10000.000000,1000,1096482752,1194451560,1213095576,97955330,97968808
7d1bea60e09b7,11,4,gaussian,100000.000000,10000.000000,1000,1096140103,1184671864,1212758246,88523929,88531761
7d1bea60e09b7,2,4,gaussian,100000.000000,10000.000000,1000,1093580443,1175237282,1210197057,81654503,81656839
7d1bea60e09b7,6,4,gaussian,100000.000000,10000.000000,1000,1092333124,1194219397,1208951024,101883432,101886273
7d1bea60e09b7,7,4,gaussian,100000.000000,10000.000000,1000,1094605425,1193009145,1211228918,98399213,98403720
7d1bea60e09b7,1,4,gaussian,100000.000000,10000.000000,1000,1094493787,1207383166,1211114664,112880523,112889379
7d1bea60e09b7,5,4,gaussian,100000.000000,10000.000000,1000,1094716204,1190494713,1211338726,95772123,95778509
7d1bea60e09b7,0,4,gaussian,100000.000000,10000.000000,1000,1095031434,1211353045,1211647253,116313984,116321611
7d1bea60e09b7,4,4,gaussian,100000.000000,10000.000000,1000,1094136008,1193635842,1210749516,99495612,99499834
7d1bea60e09b7,3,4,gaussian,100000.000000,10000.000000,1000,1094858491,1182956924,1211480900,88093163,88098433
7d1bea60e09b7,13,5,gaussian,100000.000000,10000.000000,1000,1212781324,1321881091,1332538100,109096660,109099767
7d1bea60e09b7,8,5,gaussian,100000.000000,10000.000000,1000,1213132389,1300426183,1332893946,87285172,87293794
7d1bea60e09b7,10,5,gaussian,100000.000000,10000.000000,1000,1213135921,1307831514,1332898619,94683791,94695593
7d1bea60e09b7,9,5,gaussian,100000.000000,10000.000000,1000,1212752191,1304663857,1332509397,91905108,91911666
7d1bea60e09b7,15,5,gaussian,100000.000000,10000.000000,1000,1213082453,1317916792,1332839315,104825766,104834339
7d1bea60e09b7,14,5,gaussian,100000.000000,10000.000000,1000,1213138305,1303936550,1332900184,90788363,90798245
7d1bea60e09b7,12,5,gaussian,100000.000000,10000.000000,1000,1213096228,1332846018,1332857374,119733396,119749790
7d1bea60e09b7,11,5,gaussian,100000.000000,10000.000000,1000,1212758941,1309121938,1332516729,96354504,96362997
7d1bea60e09b7,2,5,gaussian,100000.000000,10000.000000,1000,1210197827,1325658136,1329960507,115457088,115460309
7d1bea60e09b7,6,5,gaussian,100000.000000,10000.000000,1000,1208951906,1305588895,1328713745,96634284,96636989
7d1bea60e09b7,7,5,gaussian,100000.000000,10000.000000,1000,1211229577,1304938382,1330986607,93704534,93708805
7d1bea60e09b7,1,5,gaussian,100000.000000,10000.000000,1000,1211115398,1317242677,1330872642,106118959,106127279
